epoch, episodes, frames, reward_sum, reward_avg, reward_max
1,60,100828,33850,564,1150
2,51,100100,34800,682,1300
3,48,99400,43025,896,1150
4,44,100976,46575,1059,1175
5,44,100408,45275,1029,1175
6,44,100300,47750,1085,1300
7,43,98700,47400,1102,1300
8,37,102480,101850,2753,5000
9,30,98708,127525,4251,5025
10,29,100736,133975,4620,5100
11,33,98216,119900,3633,5100
12,29,101452,113475,3913,5650
13,27,101832,120825,4475,5650
14,25,98784,110775,4431,5700
15,24,100688,116475,4853,5700
16,24,97364,110575,4607,5725
17,25,99872,114975,4599,5725
18,26,101008,109375,4207,5725
19,35,98780,89350,2553,5725
20,48,99980,45250,943,1300
